,time,el,el_lo,el_hi,pa,el_dlo,el_dhi,time_err
0,2456198.645150463,7.441086769104004,6.951697826385498,7.9062724113464355,82.25571563757019,0.48938894271850586,0.46518564224243164,0 days 00:00:00.000000000
1,2456198.6729282406,8.421687126159668,7.911253452301025,8.94269847869873,82.25571563757019,0.5104336738586426,0.5210113525390625,0 days 00:00:00.000000000
2,2456198.7007060186,9.076741218566895,8.590108871459961,9.598718643188477,82.25571563757019,0.4866323471069336,0.521977424621582,0 days 00:00:00.000000000
3,2456198.728483796,10.056988716125488,9.574223518371582,10.604942321777344,82.25571563757019,0.48276519775390625,0.5479536056518555,0 days 00:00:00.000000000
4,2456198.756261574,10.714754104614258,10.166410446166992,11.268022537231445,82.25571563757019,0.5483436584472656,0.5532684326171875,0 days 00:00:00.000000000
5,2456198.7840393516,11.657049179077148,11.062760353088379,12.166179656982422,82.25571563757019,0.5942888259887695,0.5091304779052734,0 days 00:00:00.000000000
6,2456198.8118171296,12.351788520812988,11.79721450805664,12.946392059326172,82.25571563757019,0.5545740127563477,0.5946035385131836,0 days 00:00:00.000000000
7,2456198.8395949076,13.51072883605957,12.990830421447754,14.040964126586914,82.25571563757019,0.5198984146118164,0.5302352905273438,0 days 00:00:00.000000000
8,2456198.867372685,14.066122055053711,13.536189079284668,14.58606243133545,82.25571563757019,0.529932975769043,0.5199403762817383,0 days 00:00:00.000000000
9,2456198.895150463,14.820688247680664,14.321043014526367,15.340559959411621,82.25571563757019,0.4996452331542969,0.519871711730957,0 days 00:00:00.000000000
10,2456198.9229282406,15.575550079345703,15.065494537353516,16.085073471069336,82.25571563757019,0.5100555419921875,0.5095233917236328,0 days 00:00:00.000000000
11,2456198.9507060186,16.340002059936523,15.825374603271484,16.818819046020508,82.25571563757019,0.5146274566650391,0.4788169860839844,0 days 00:00:00.000000000
12,2456198.978483796,16.80925941467285,16.279624938964844,17.337562561035156,82.25571563757019,0.5296344757080078,0.5283031463623047,0 days 00:00:00.000000000
13,2456199.006261574,17.62200927734375,17.103363037109375,18.159391403198242,82.25571563757019,0.518646240234375,0.5373821258544922,0 days 00:00:00.000000000
14,2456199.0340393516,18.323604583740234,17.810630798339844,18.801006317138672,82.25571563757019,0.5129737854003906,0.4774017333984375,0 days 00:00:00.000000000
15,2456199.0618171296,18.85611343383789,18.363876342773438,19.367462158203125,82.25571563757019,0.4922370910644531,0.5113487243652344,0 days 00:00:00.000000000
16,2456199.0895949076,19.550809860229492,19.059539794921875,20.056278228759766,82.25571563757019,0.4912700653076172,0.5054683685302734,0 days 00:00:00.000000000
17,2456199.117372685,20.140533447265625,19.620586395263672,20.62529754638672,82.25571563757019,0.5199470520019531,0.48476409912109375,0 days 00:00:00.000000000
18,2456199.145150463,20.55571746826172,20.055927276611328,21.054126739501953,82.25571563757019,0.4997901916503906,0.4984092712402344,0 days 00:00:00.000000000
19,2456199.1729282406,21.12922477722168,20.64999771118164,21.607257843017578,82.25571563757019,0.47922706604003906,0.47803306579589844,0 days 00:00:00.000000000
20,2456199.2007060186,21.916534423828125,21.439083099365234,22.402944564819336,82.25571563757019,0.4774513244628906,0.48641014099121094,0 days 00:00:00.000000000
