,time,el,el_lo,el_hi,pa,el_dlo,el_dhi,time_err
0,2456205.9507060186,6.539820194244385,6.004748344421387,7.095609188079834,276.6707845252702,0.535071849822998,0.5557889938354492,0 days 00:00:00.000000000
1,2456205.978483796,7.0658111572265625,6.500162601470947,7.59805154800415,276.6707845252702,0.5656485557556152,0.5322403907775879,0 days 00:00:00.000000000
2,2456206.006261574,7.420629501342773,6.8838372230529785,7.998096466064453,276.6707845252702,0.5367922782897949,0.5774669647216797,0 days 00:00:00.000000000
3,2456206.0340393516,7.9339280128479,7.381220817565918,8.447867393493652,276.6707845252702,0.5527071952819824,0.513939380645752,0 days 00:00:00.000000000
4,2456206.0618171296,8.535906791687012,8.001943588256836,9.06563949584961,276.6707845252702,0.5339632034301758,0.5297327041625977,0 days 00:00:00.000000000
5,2456206.0895949076,9.395877838134766,8.850610733032227,9.981361389160156,276.6707845252702,0.5452671051025391,0.5854835510253906,0 days 00:00:00.000000000
6,2456206.117372685,9.40073013305664,8.825846672058105,9.981439590454102,276.6707845252702,0.5748834609985352,0.5807094573974609,0 days 00:00:00.000000000
7,2456206.145150463,9.961112022399902,9.325926780700684,10.552143096923828,276.6707845252702,0.6351852416992188,0.5910310745239258,0 days 00:00:00.000000000
8,2456206.1729282406,10.403739929199219,9.847511291503906,10.96070671081543,276.6707845252702,0.5562286376953125,0.5569667816162109,0 days 00:00:00.000000000
9,2456206.2007060186,10.950374603271484,10.29419994354248,11.781813621520996,276.6707845252702,0.6561746597290039,0.8314390182495117,0 days 00:00:00.000000000
10,2456206.228483796,11.283857345581055,10.72157096862793,13.007640838623047,276.6707845252702,0.562286376953125,1.7237834930419922,0 days 00:00:00.000000000
11,2456206.256261574,11.831445693969727,11.219124794006348,12.768442153930664,276.6707845252702,0.6123208999633789,0.9369964599609375,0 days 00:00:00.000000000
12,2456206.2840393516,12.579038619995117,12.00620174407959,13.162394523620605,276.6707845252702,0.5728368759155273,0.5833559036254883,0 days 00:00:00.000000000
13,2456206.3118171296,12.588815689086914,11.9909029006958,13.311746597290039,276.6707845252702,0.5979127883911133,0.722930908203125,0 days 00:00:00.000000000
14,2456206.3395949076,13.206740379333496,12.508773803710938,13.994467735290527,276.6707845252702,0.6979665756225586,0.7877273559570312,0 days 00:00:00.000000000
15,2456206.367372685,13.561091423034668,12.962668418884277,14.169278144836426,276.6707845252702,0.5984230041503906,0.6081867218017578,0 days 00:00:00.000000000
16,2456206.395150463,13.940232276916504,13.301926612854004,14.643357276916504,276.6707845252702,0.6383056640625,0.703125,0 days 00:00:00.000000000
17,2456206.4229282406,14.454107284545898,13.716080665588379,16.09881591796875,276.6707845252702,0.7380266189575195,1.6447086334228516,0 days 00:00:00.000000000
18,2456206.4507060186,15.286967277526855,14.454315185546875,16.333145141601562,276.6707845252702,0.8326520919799805,1.046177864074707,0 days 00:00:00.000000000
19,2456206.478483796,15.521080017089844,14.733363151550293,16.691394805908203,276.6707845252702,0.7877168655395508,1.1703147888183594,0 days 00:00:00.000000000
20,2456206.506261574,15.870232582092285,15.212510108947754,16.90076446533203,276.6707845252702,0.6577224731445312,1.030531883239746,0 days 00:00:00.000000000
21,2456206.5340393516,17.12994384765625,16.383392333984375,17.75643539428711,276.6707845252702,0.746551513671875,0.6264915466308594,0 days 00:00:00.000000000
22,2456206.5618171296,17.288925170898438,15.984989166259766,18.198192596435547,276.6707845252702,1.3039360046386719,0.9092674255371094,0 days 00:00:00.000000000
23,2456206.5895949076,17.00537109375,16.442935943603516,17.636934280395508,276.6707845252702,0.5624351501464844,0.6315631866455078,0 days 00:00:00.000000000
24,2456206.617372685,,,,276.6707845252702,,,0 days 00:00:00.000000000
25,2456206.645150463,18.31275177001953,17.672067642211914,19.521259307861328,276.6707845252702,0.6406841278076172,1.2085075378417969,0 days 00:00:00.000000000
26,2456206.6729282406,19.52525520324707,18.56024742126465,20.31605339050293,276.6707845252702,0.9650077819824219,0.7907981872558594,0 days 00:00:00.000000000
