,arrival_time,transit_time,rmse_a,rmse_b,hit,w_a,w_b,w_avg
61,2012-11-23 23:58:20.769557,3.2562599948777535,2.22218583562952,0.23595057729166347,1.0,0.007941429511859301,0.017946282372176228,0.016010199956354037
62,2012-11-24 08:31:25.494557,3.6125646823777533,4.1351275127178635,1.10188496886979,1.0,0.004267663360229747,0.0038429017597884745,0.0039250992170637026
63,2012-11-24 00:41:49.644557,3.286455307377753,4.830482379201731,1.1705205709488147,1.0,0.003653327098735909,0.0036175662274109243,0.003624486468529253
64,2012-11-23 20:38:19.944557,3.117361557377753,3.5122760134525413,2.8121977947066394,1.0,0.005024471911749553,0.0015057389255921482,0.0021866641881209035
65,2012-11-25 07:00:55.668194,4.549719469832366,4.404267468880923,3.772728321905804,1.0,0.004006871131372952,0.0011223802311360568,0.001680570560221104
66,2012-11-24 15:47:58.383115,3.9157231147555076,4.76243413196103,1.9960675264256726,1.0,0.003705527821890807,0.0021213889960610315,0.0024279425623883522
67,2012-11-24 05:09:05.457410,3.472054993170338,2.5125524239459733,0.7473419192486854,1.0,0.007023667250766767,0.005665995144780758,0.005928724155147087
68,2012-11-24 07:39:14.844557,3.5763303073777535,4.455071569960518,0.5620117324861956,1.0,0.003961178153656549,0.007534425780084925,0.006842951153371903
69,2012-11-24 07:39:14.844557,3.5763303073777535,3.8678197802760557,0.555879414514825,1.0,0.004562604562367809,0.007617543617171048,0.007026369127351949
70,2012-11-24 12:52:18.744557,3.7937365573777537,8.133620661071824,1.530487586250246,1.0,0.0021696773074708995,0.0027667233135348166,0.002651186354629396
71,2012-11-23 19:28:45.744557,3.069049057377754,2.479064063076759,1.4652612473492517,1.0,0.007118546244424978,0.0028898844445756967,0.003708191107097456
72,2012-11-24 00:59:13.194557,3.2985334323777535,4.130332747595261,0.17399237865855102,1.0,0.004272617547866699,0.024336903251745267,0.020454176411114716
73,2012-11-23 17:09:37.344557,2.9724240573777534,3.15562065472459,2.2646219877873652,1.0,0.0055923490516778165,0.0018698200886459702,0.0025901827934590505
74,2012-11-23 20:29:38.169557,3.1113224948777534,1.7062470197941837,0.31099433841631036,1.0,0.010342776849528331,0.013615796697513468,0.012982420448727707
