,arrival_time,transit_time,rmse_a,rmse_b,w_a,w_b,w_avg
0,2012-10-01 00:35:19.771428,2.9846343210004997,3.481927228891721,0.9367688548722068,0.009503698950921242,0.008675051269876295,0.008838428148905297
1,2012-10-01 06:42:29.876762,3.2396123920009994,4.4580694518267885,1.5871951883835682,0.0074227619174579125,0.0051200494454093646,0.005574054187822989
2,2012-10-01 04:04:02.371428,3.1295718210004995,3.8953512058543063,1.1544867666725531,0.008495046121302169,0.0070390740531932165,0.0073261347399993185
3,2012-09-30 23:08:22.021428,2.9242436960004996,3.845543413474993,0.646327717270801,0.008605074652505297,0.012573370485107664,0.011790977915835239
4,2012-10-01 00:00:32.671428,2.9604780710004994,2.6083043743822643,0.4441834908780759,0.012686858358024064,0.01829540721555172,0.017189620969859112
5,2012-10-01 06:57:57.871428,3.2503530710004993,4.566344234588076,2.203045369078438,0.007246757242205037,0.0036887655416007734,0.004390262200497838
6,2012-10-01 06:05:47.221428,3.2141186960005,4.935770659649451,1.1097766326802354,0.006704360966956386,0.007322660799239614,0.007200756280330913
7,2012-10-01 09:51:53.371428,3.3711343210004996,4.716060433582663,3.088095067823239,0.007016701464799483,0.0026315633636784324,0.0034961409078633184
8,2012-10-01 04:12:44.146428,3.1356108835004997,3.7856118070833156,1.907304307487752,0.0087413051941789,0.004260734803636931,0.005144127858877758
9,2012-09-30 20:31:50.071428,2.8155405710004997,2.6879957617034513,1.6773783488325709,0.012310729289034157,0.0048447733033490205,0.006316767512481436
10,2012-10-01 04:04:02.371428,3.1295718210004995,3.122920202625524,1.8760432311732196,0.010596232373975388,0.004331732717565163,0.005566846778648345
11,2012-09-30 23:43:09.121428,2.9483999460004995,3.863932065194466,0.38196894808062537,0.008564122659008739,0.021275336345729253,0.01876918268318789
12,2012-10-01 07:17:16.976762,3.2637686420009997,5.521422613377949,0.9206773270041209,0.005993235886748671,0.008826673152127408,0.008268030259700179
13,2012-10-01 00:35:19.771428,2.9846343210004997,2.4101037602780973,0.36906528588443216,0.013730192325239983,0.022019187809997415,0.02038492243574634
14,2012-10-01 02:37:04.621428,3.0691811960005,4.58314481100719,0.3164787310396589,0.007220192578887825,0.025677927288647217,0.0220387846713371
15,2012-09-30 20:31:50.071428,2.8155405710004997,1.8289587755908956,0.5011368314930494,0.018092910892270567,0.016216165592595064,0.016586186286319426
16,2012-10-01 02:02:17.521428,3.0450249460004994,4.517280178399628,0.7426160429199117,0.007325467282422546,0.010943094916299988,0.010229840386260541
17,2012-10-01 00:17:56.221428,2.9725561960005,3.77890629034814,0.5309268094411541,0.00875681628753852,0.015306286477779405,0.014014987384749015
18,2012-09-30 16:56:41.102983,2.666131214000333,2.217161356706218,1.8155235480243401,0.014925024762997917,0.004476129132493494,0.006536242249878831
19,2012-10-01 07:50:08.521428,3.2865874460004996,5.330918260299951,1.217568265746415,0.00620740865581016,0.0066743837472290225,0.006582314542468691
20,2012-10-01 01:27:30.421428,3.0208686960005,4.620070274696016,0.684460506263579,0.007162485889801672,0.011872880567502396,0.010944175161041663
21,2012-09-30 21:24:00.721428,2.8517749460004995,2.488098370191669,0.5238345465703955,0.013299790936261578,0.015513520246507106,0.015077059499682981
22,2012-09-30 19:57:02.971428,2.7913843210005,2.367377991570147,0.4825931491527874,0.013977990954648883,0.016839273119202258,0.016275140302856705
23,2012-10-01 00:17:56.221428,2.9725561960005,3.793053392372304,0.3596072815379573,0.00872415564171798,0.0225983128297193,0.019862872240933565
24,2012-09-30 22:33:34.921428,2.9000874460004997,2.5600761968013193,0.8468309901749691,0.012925860641862167,0.009596386927644947,0.01025282878668928
25,2012-09-30 19:22:15.871428,2.7672280710005,2.4129838315753207,0.41020674091756715,0.013713804344390786,0.019810785717128816,0.018608699702817137
26,2012-10-01 07:52:04.076762,3.2879248920009996,5.3638514077602615,1.258926192425308,0.006169296208416028,0.006455118570838574,0.006398765591644316
27,2012-10-01 08:07:32.071428,3.2986655710004995,4.7876615064680665,2.286071647249792,0.006911764356710808,0.0035547957798331155,0.004216658549300002
28,2012-10-01 01:53:35.746428,3.0389858835004997,3.027442250988775,1.8845331395958664,0.010930411023230795,0.0043122180625501825,0.005617066595239299
29,2012-09-30 18:47:28.771428,2.7430718210004996,2.698586890134553,1.256326747810339,0.012262413440670207,0.006468474748470863,0.007610812611075208
30,2012-10-01 04:04:02.371428,3.1295718210004995,3.797006982603077,1.3642062786653144,0.008715071714120568,0.0059569567822179825,0.006500749059545435
31,2012-09-30 22:16:11.371428,2.8880093210005,2.8682583971981046,1.192016242049487,0.011537031734911999,0.006817455633043567,0.00774797125687396
32,2012-09-30 17:37:54.571428,2.6947593210004994,1.9001361028607755,0.5290919364446679,0.017415167314899956,0.015359368163210641,0.015764691266136523
33,2012-10-01 01:27:30.421428,3.0208686960005,4.176424837788496,0.4283195857848314,0.007923329028453156,0.01897302414772622,0.01679445689399011
34,2012-10-01 01:10:06.871428,3.0087905710004996,3.4087576523865604,1.2469556377094764,0.009707697503585903,0.006517086573318069,0.0071461501282002295
35,2012-10-01 01:10:06.871428,3.0087905710004996,3.353137780192329,0.34528629684310713,0.009868723065267038,0.023535593269524584,0.020841021558118303
36,2012-09-30 21:24:00.721428,2.8517749460004995,3.41513774214921,0.8429306255736192,0.009689561783700546,0.009640790828438056,0.009650406551308355
37,2012-10-01 02:19:41.071428,3.0571030710005,3.649357874019426,0.9567755917116905,0.009067674175773699,0.008493650877423825,0.008606825797380245
